state,am,fm_commercial,fm_educational,tv,total,total_radio
Alabama,71,14,1,2,88,86
Arizona,25,0,2,1,28,27
Arkansas,34,7,0,0,41,41
California,143,58,7,11,219,208
Colorado,35,3,0,0,38,38
Connecticut,27,11,0,1,39,38
Delaware,5,3,0,1,9,8
District of Columbia,7,8,0,4,19,15
Florida,75,21,1,3,100,97
Georgia,76,22,1,3,102,99
Idaho,22,3,0,0,25,25
Illinois,74,46,5,5,130,125
Indiana,45,20,6,2,73,71
Iowa,52,20,2,2,76,74
Kansas,39,6,1,0,46,46
Kentucky,43,12,3,2,60,58
Louisiana,42,16,2,1,61,60
Maine,16,2,0,0,18,18
Maryland,22,18,0,3,43,40
Massachusetts,51,28,2,2,83,81
Michigan,63,25,4,6,98,92
Minnesota,49,10,2,2,63,61
Mississippi,43,5,1,0,49,49
Missouri,51,15,2,2,70,68
Montana,25,0,0,0,25,25
Nebraska,22,3,0,2,27,25
Nevada,10,1,0,0,11,11
New Hampshire,12,4,0,0,16,16
New Jersey,20,13,2,1,36,35
New Mexico,25,0,1,1,27,26
New York,95,56,6,13,170,157
North Carolina,93,42,2,2,139,137
North Dakota,14,0,0,0,14,14
Ohio,69,45,6,12,132,120
Oklahoma,46,10,3,2,61,59
Oregon,43,8,2,0,53,53
Pennsylvania,111,63,4,7,185,178
Rhode Island,11,5,0,2,18,16
South Carolina,42,11,0,0,53,53
South Dakota,14,1,0,0,15,15
Tennessee,57,13,1,2,73,71
Texas,183,29,4,6,222,216
Utah,18,3,1,2,24,22
Vermont,9,0,0,0,9,9
Virginia,57,20,0,2,79,77
Washington,53,7,1,1,62,61
West Virginia,38,15,0,1,54,53
Wisconsin,55,18,6,1,80,79
Wyoming,13,0,0,0,13,13
Alaska,10,0,0,0,10,10
Hawaii,12,0,0,0,12,12
Puerto Rico,25,0,0,0,25,25
Virgin Islands,3,0,0,0,3,3
Grand totals,2295,740,82,109,3226,3117
