State,AM,FM_Commercial,FM_Educational,TV,Total,Population_1950,total_radio,radio_per_100k
Alabama,71,14,1,2,88,3061743,86,2.8088575690382895
Arizona,25,0,2,1,28,749587,27,3.601983492243062
Arkansas,34,7,0,0,41,1909511,41,2.1471465731278845
California,143,58,7,11,219,10586223,208,1.9648178580783722
Colorado,35,3,0,0,38,1325089,38,2.8677319032910242
Connecticut,27,11,0,1,39,2007280,38,1.8931090829381054
Delaware,5,3,0,1,9,318085,8,2.5150510083782636
District of Columbia,7,8,0,4,19,802178,15,1.8699091722784718
Florida,75,21,1,3,100,2771305,97,3.5001560636595395
Georgia,76,22,1,3,102,3444578,99,2.8740821081711605
Idaho,22,3,0,0,25,588637,25,4.24709965564516
Illinois,74,46,5,5,130,8712176,125,1.434773585841241
Indiana,45,20,6,2,73,3934224,71,1.8046760936845485
Iowa,52,20,2,2,76,2621073,74,2.823271232811906
Kansas,39,6,1,0,46,1905299,46,2.4143192223372814
Kentucky,43,12,3,2,60,2944806,58,1.9695694724881707
Louisiana,42,16,2,1,61,2683516,60,2.235872638732171
Maine,16,2,0,0,18,913774,18,1.9698525018221136
Maryland,22,18,0,3,43,2343001,40,1.7072122461748842
Massachusetts,51,28,2,2,83,4690514,81,1.7268896329911818
Michigan,63,25,4,6,98,6371766,92,1.4438697215183358
Minnesota,49,10,2,2,63,2982483,61,2.045275698134742
Mississippi,43,5,1,0,49,2178914,49,2.2488267090853515
Missouri,51,15,2,2,70,3954653,68,1.7194934675684568
Montana,25,0,0,0,25,591024,25,4.229946668832399
Nebraska,22,3,0,2,27,1325510,25,1.8860664951603534
Nevada,10,1,0,0,11,160083,11,6.871435442864015
New Hampshire,12,4,0,0,16,533242,16,3.0005138379947565
New Jersey,20,13,2,1,36,4835329,35,0.7238390603824476
New Mexico,25,0,1,1,27,681187,26,3.816866734097979
New York,95,56,6,13,170,14830192,157,1.0586511624394344
North Carolina,93,42,2,2,139,4061929,137,3.3727817497548576
North Dakota,14,0,0,0,14,619636,14,2.259390997295186
Ohio,69,45,6,12,132,7946627,120,1.5100746517988073
Oklahoma,46,10,3,2,61,2233351,59,2.641770147191373
Oregon,43,8,2,0,53,1521341,53,3.48376859625817
Pennsylvania,111,63,4,7,185,10498012,178,1.6955591210983563
Rhode Island,11,5,0,2,18,791896,16,2.020467334094376
South Carolina,42,11,0,0,53,2117027,53,2.5035108196541658
South Dakota,14,1,0,0,15,652740,15,2.298005331372369
Tennessee,57,13,1,2,73,3291718,71,2.156928388154757
Texas,183,29,4,6,222,7711194,216,2.8011226277020134
Utah,18,3,1,2,24,688862,22,3.1936730433671765
Vermont,9,0,0,0,9,377747,9,2.382547048686025
Virginia,57,20,0,2,79,3318680,77,2.3201995974303036
Washington,53,7,1,1,62,2378963,61,2.5641424435773064
West Virginia,38,15,0,1,54,2005552,53,2.6426639648336216
Wisconsin,55,18,6,1,80,3434575,79,2.3001390273905797
Wyoming,13,0,0,0,13,290529,13,4.474596339780194
Alaska,10,0,0,0,10,128643,10,7.773450556967732
Hawaii,12,0,0,0,12,499794,12,2.400989207553512
Puerto Rico,25,0,0,0,25,2210703,25,1.130861992768816
