state,total,Population_1940
Alabama,12,"2,832,961"
Alaska,3,"72,524"
Arizona,9,"499,261"
Arkansas,10,"1,949,387"
California,54,"6,907,387"
Colorado,14,"1,123,296"
Connecticut,8,"1,709,242"
Delaware,2,"266,505"
District of Columbia,4,"663,091"
Florida,14,"1,897,414"
Georgia,14,"3,123,723"
Hawaii,3,"423,330"
Idaho,7,"524,873"
Illinois,32,"7,897,241"
Indiana,19,"3,427,796"
Iowa,18,"2,538,268"
Kansas,16,"1,801,028"
Kentucky,8,"2,845,627"
Louisiana,13,"2,363,880"
Maine,6,"847,226"
Maryland,8,"1,821,244"
Massachusetts,19,"4,316,721"
Michigan,22,"5,256,106"
Minnesota,18,"2,792,300"
Mississippi,9,"2,183,796"
Missouri,20,"3,784,664"
Montana,6,"559,456"
Nebraska,10,"1,315,834"
Nevada,3,"110,247"
New Hampshire,3,"491,524"
New Jersey,11,"4,160,165"
New Mexico,6,"531,818"
New York,60,"13,479,142"
North Carolina,13,"3,571,623"
North Dakota,6,"641,935"
Ohio,26,"6,907,612"
Oklahoma,15,"2,336,434"
Oregon,16,"1,089,684"
Pennsylvania,39,"9,900,180"
Puerto Rico,4,"1,869,255"
Rhode Island,6,"713,346"
South Carolina,8,"1,899,804"
South Dakota,11,"642,961"
Tennessee,13,"2,915,841"
Texas,52,"6,414,824"
Utah,7,"550,310"
Vermont,5,"359,231"
Virgin Islands,7,
Virginia,12,"2,677,773"
Washington,24,"1,736,191"
West Virginia,7,"1,901,974"
Wisconsin,19,"3,137,587"
Wyoming,3,"250,742"
Total,738,
